term,estimate,std_error,statistic,p_value,model,n,f_robust,f_p_value
y,-0.5584553529201423,0.07186434037847647,-7.770966100558558,3.9770805266925805e-9,Z4,39,0.37678586087620625,0.5432977486284738
pb,0.3827614811981124,0.2722492452704363,1.4059230203481363,0.16856300788327466,Z4,39,0.37678586087620625,0.5432977486284738
pc_l1,0.03813228048045099,0.062122007280985055,0.6138288530821977,0.5432977486284738,Z4,39,0.37678586087620625,0.5432977486284738
(Intercept),5.942747184201036,0.6639379439365839,8.950756977324763,1.8411251901217634e-10,Z5,39,7.145158020512223,0.002567561050590345
y,-0.6010394480626919,0.069714435383386,-8.621448983375526,4.507057504682682e-10,Z5,39,7.145158020512223,0.002567561050590345
pb,0.45446466345167646,0.2809192581704561,1.6177768174794074,0.1149520409009433,Z5,39,7.145158020512223,0.002567561050590345
pc_l1,-0.04802879884021136,0.061541607232385775,-0.7804280876001658,0.4405387392670813,Z5,39,7.145158020512223,0.002567561050590345
pc2_l1,0.23257055060076584,0.06765972608201494,3.437355781175515,0.0015683585687120498,Z5,39,7.145158020512223,0.002567561050590345
(Intercept),5.205150237856612,0.6598683461541937,7.8881647652792655,2.3286812124804074e-9,Z6,40,15.579211018184864,3.5176472863641e-4
y,-0.5357287382969541,0.06705100931868892,-7.989868366495001,1.7288900728239805e-9,Z6,40,15.579211018184864,3.5176472863641e-4
pb,0.10953049252379185,0.20785921151242234,0.5269455788214897,0.6014636544871801,Z6,40,15.579211018184864,3.5176472863641e-4
exp_pc,0.1236738482534091,0.031333228415152334,3.947050926728063,3.517647286364111e-4,Z6,40,15.579211018184864,3.5176472863641e-4
(Intercept),5.793689889170541,0.6657949105094167,8.701913754098301,2.8251558261138384e-10,Z7,40,3.85062692061687,0.0307949707444289
y,-0.6030335107224687,0.0670398306014797,-8.995152662410794,1.2554803727091144e-10,Z7,40,3.85062692061687,0.0307949707444289
pb,0.19731100228084117,0.19985468643007856,0.9872723317392543,0.3302854876271262,Z7,40,3.85062692061687,0.0307949707444289
exp_pc,0.041339926627145814,0.04347743690644992,0.950836331867875,0.3482076942748922,Z7,40,3.85062692061687,0.0307949707444289
exp_pc2,0.13014244078126955,0.061886679440366764,2.102915230840155,0.042733527278464335,Z7,40,3.85062692061687,0.0307949707444289
(Intercept),5.410191041768111,0.7770580708568079,6.962402482741952,4.9884168569957954e-8,Z8,40,6.320952026316032,0.0015918940831545437
y,-0.5614294367656139,0.08129022442016941,-6.9064815698345425,5.875464723664026e-8,Z8,40,6.320952026316032,0.0015918940831545437
pb,0.1919533246688133,0.19337112910181722,0.9926679621741392,0.32788426167606555,Z8,40,6.320952026316032,0.0015918940831545437
exp_pc,0.10637090328558758,0.06827647396247226,1.5579437119739619,0.1285072807846997,Z8,40,6.320952026316032,0.0015918940831545437
exp_pc2,0.17300369488461778,0.05970171350334015,2.8978011640308896,0.006533013911017282,Z8,40,6.320952026316032,0.0015918940831545437
exp_pc3,-0.1410005596626184,0.1085550565731996,-1.2988852303489016,0.20272348176865337,Z8,40,6.320952026316032,0.0015918940831545437
(Intercept),5.310699719021511,0.6115671569401101,8.683755592096945,2.97172377829532e-10,Z9,39,2.055647948754078,0.1605167475775272
y,-0.5393783360125853,0.06393618513484245,-8.436198294831444,5.946400087876719e-10,Z9,39,2.055647948754078,0.1605167475775272
pb,0.34803346718384864,0.2767547109932775,1.2575520970709062,0.21688016372554883,Z9,39,2.055647948754078,0.1605167475775272
exp_pc_l1,0.05825048744767912,0.04062797666506367,1.4337530989518656,0.1605167475775271,Z9,39,2.055647948754078,0.1605167475775272
(Intercept),5.974039800702329,0.6626176681249938,9.01581724738346,1.545183719886009e-10,Z10,39,7.614767241181722,0.001850564366786316
y,-0.6161791549678677,0.07116193206206425,-8.658831163134579,4.0686982829453326e-10,Z10,39,7.614767241181722,0.001850564366786316
pb,0.4469978805850637,0.2771428505860074,1.6128789887233412,0.11601565929985065,Z10,39,7.614767241181722,0.001850564366786316
exp_pc_l1,-0.052460783382701506,0.06008240144259489,-0.8731472464998693,0.388708038217354,Z10,39,7.614767241181722,0.001850564366786316
exp_pc2_l1,0.17695568769213219,0.06148506702069511,2.8780270766000973,0.006870000724462957,Z10,39,7.614767241181722,0.001850564366786316
